complexity,loss,equation,score,sympy_format,lambda_format
25,0.004575186,(s_band_skew - (((cube(ElectronegativityDiff_minimum_EN_difference) - square(ICOHP_min_times_log_swidth + (ICOHP_antibndg_div_minNumber - GaussSymm_div_minEN))) - (square(exp_d_upperband - GaussianSymmFunc_mean_G4_0_005_4_0__1_0) * cube(GaussianSymmFunc_mean_G4_0_005_4_0__1_0))) - antibond_max_times_p_center_sq)) * (YangSolidSolution_Yang_omega * 1.1979501e-9),0.0012701140708903126,(s_band_skew - (ElectronegativityDiff_minimum_EN_difference**3 - GaussianSymmFunc_mean_G4_0_005_4_0__1_0**3*(-GaussianSymmFunc_mean_G4_0_005_4_0__1_0 + exp_d_upperband)**2 - antibond_max_times_p_center_sq - (-GaussSymm_div_minEN + ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth)**2))*YangSolidSolution_Yang_omega*1.1979501e-9,PySRFunction(X=>(s_band_skew - (ElectronegativityDiff_minimum_EN_difference**3 - GaussianSymmFunc_mean_G4_0_005_4_0__1_0**3*(-GaussianSymmFunc_mean_G4_0_005_4_0__1_0 + exp_d_upperband)**2 - antibond_max_times_p_center_sq - (-GaussSymm_div_minEN + ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth)**2))*YangSolidSolution_Yang_omega*1.1979501e-9)
26,0.0045198062,(YangSolidSolution_Yang_omega * 1.212111e-9) * (s_band_skew - (((cube(ElectronegativityDiff_minimum_EN_difference) - square((rangeEN_div_minEN * -0.16608392) - (ICOHP_min_times_log_swidth + ICOHP_antibndg_div_minNumber))) - square(square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - inv(p_band_center)))) - antibond_max_times_p_center_sq)),0.012178236820028764,YangSolidSolution_Yang_omega*1.212111e-9*(s_band_skew - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (rangeEN_div_minEN*(-0.16608392) - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth))**2)),PySRFunction(X=>YangSolidSolution_Yang_omega*1.212111e-9*(s_band_skew - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (rangeEN_div_minEN*(-0.16608392) - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth))**2)))
28,0.004489092,(((((cube(ElectronegativityDiff_minimum_EN_difference) - square(ICOHP_antibndg_div_minNumber + (ICOHP_min_times_log_swidth - GaussSymm_div_minEN))) - square(square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - inv(p_band_center)))) - antibond_max_times_p_center_sq) - s_band_skew) * (YangSolidSolution_Yang_omega * -1.2349731e-9)) - (exp_d_upperband * 0.031491186),0.003409331343369769,(ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - s_band_skew - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (-GaussSymm_div_minEN + ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth)**2)*YangSolidSolution_Yang_omega*(-1.2349731e-9) - 0.031491186*exp_d_upperband,PySRFunction(X=>(ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - s_band_skew - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (-GaussSymm_div_minEN + ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth)**2)*YangSolidSolution_Yang_omega*(-1.2349731e-9) - 0.031491186*exp_d_upperband)
29,0.004466572,((s_band_skew * exp(ElementProperty_MagpieData_mean_NfUnfilled)) - (((cube(ElectronegativityDiff_minimum_EN_difference) - square((ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth) - (rangeEN_div_minEN * -0.16825676))) - square(square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - inv(p_band_center)))) - antibond_max_times_p_center_sq)) * (YangSolidSolution_Yang_omega * 1.1828112e-9),0.005029230097690402,(s_band_skew*exp(ElementProperty_MagpieData_mean_NfUnfilled) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth - (-0.16825676)*rangeEN_div_minEN)**2))*YangSolidSolution_Yang_omega*1.1828112e-9,PySRFunction(X=>(s_band_skew*exp(ElementProperty_MagpieData_mean_NfUnfilled) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth - (-0.16825676)*rangeEN_div_minEN)**2))*YangSolidSolution_Yang_omega*1.1828112e-9)
30,0.004435057,((((s_band_skew - (((cube(ElectronegativityDiff_minimum_EN_difference) - square((rangeEN_div_minEN * -0.1626109) - (ICOHP_min_times_log_swidth + ICOHP_antibndg_div_minNumber))) - square(square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - inv(p_band_center)))) - antibond_max_times_p_center_sq)) * 4.1480035e-8) * YangSolidSolution_Yang_omega) - exp_d_upperband) * 0.030576995,0.007080756044194849,((s_band_skew - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (rangeEN_div_minEN*(-0.1626109) - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth))**2))*4.1480035e-8*YangSolidSolution_Yang_omega - exp_d_upperband)*0.030576995,PySRFunction(X=>((s_band_skew - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (rangeEN_div_minEN*(-0.1626109) - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth))**2))*4.1480035e-8*YangSolidSolution_Yang_omega - exp_d_upperband)*0.030576995)
31,0.0044237487,(YangSolidSolution_Yang_omega * 1.212111e-9) * (((s_band_skew * exp(ElectronegativityDiff_range_EN_difference)) * ElementProperty_MagpieData_mean_NfUnfilled) - (((cube(ElectronegativityDiff_minimum_EN_difference) - square((rangeEN_div_minEN * -0.16608392) - (ICOHP_min_times_log_swidth + ICOHP_antibndg_div_minNumber))) - square(square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - inv(p_band_center)))) - antibond_max_times_p_center_sq)),0.0025530091809453587,YangSolidSolution_Yang_omega*1.212111e-9*(ElementProperty_MagpieData_mean_NfUnfilled*s_band_skew*exp(ElectronegativityDiff_range_EN_difference) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (rangeEN_div_minEN*(-0.16608392) - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth))**2)),PySRFunction(X=>YangSolidSolution_Yang_omega*1.212111e-9*(ElementProperty_MagpieData_mean_NfUnfilled*s_band_skew*exp(ElectronegativityDiff_range_EN_difference) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (rangeEN_div_minEN*(-0.16608392) - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth))**2)))
32,0.004411066,((((s_band_skew - (((cube(ElectronegativityDiff_minimum_EN_difference) - square((ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth) - (rangeEN_div_minEN * -0.16207406))) - square(exp_d_upperband - square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - inv(p_band_center)))) - antibond_max_times_p_center_sq)) * 5.1920903e-8) * YangSolidSolution_Yang_omega) - exp_d_upperband) * 0.024699252,0.002871075204788023,((s_band_skew - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (exp_d_upperband - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**2)**2 - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth - (-0.16207406)*rangeEN_div_minEN)**2))*5.1920903e-8*YangSolidSolution_Yang_omega - exp_d_upperband)*0.024699252,PySRFunction(X=>((s_band_skew - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (exp_d_upperband - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**2)**2 - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth - (-0.16207406)*rangeEN_div_minEN)**2))*5.1920903e-8*YangSolidSolution_Yang_omega - exp_d_upperband)*0.024699252)
33,0.004388524,((((exp(ElementProperty_MagpieData_mean_NfUnfilled) * s_band_skew) - (((cube(ElectronegativityDiff_minimum_EN_difference) - square((ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth) - (rangeEN_div_minEN * -0.16412641))) - square(square(inv(p_band_center) - GaussianSymmFunc_mean_G4_0_005_4_0__1_0))) - antibond_max_times_p_center_sq)) * (YangSolidSolution_Yang_omega * 4.229204e-8)) - exp_d_upperband) * 0.029254701,0.005123431730288024,((s_band_skew*exp(ElementProperty_MagpieData_mean_NfUnfilled) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (-GaussianSymmFunc_mean_G4_0_005_4_0__1_0 + 1/p_band_center)**4 - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth - (-0.16412641)*rangeEN_div_minEN)**2))*YangSolidSolution_Yang_omega*4.229204e-8 - exp_d_upperband)*0.029254701,PySRFunction(X=>((s_band_skew*exp(ElementProperty_MagpieData_mean_NfUnfilled) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (-GaussianSymmFunc_mean_G4_0_005_4_0__1_0 + 1/p_band_center)**4 - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth - (-0.16412641)*rangeEN_div_minEN)**2))*YangSolidSolution_Yang_omega*4.229204e-8 - exp_d_upperband)*0.029254701)
34,0.004383964,(((((((cube(ElectronegativityDiff_minimum_EN_difference) - square((rangeEN_div_minEN * -0.1620085) - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth))) - square(square(inv(p_band_center) - GaussianSymmFunc_mean_G4_0_005_4_0__1_0))) - antibond_max_times_p_center_sq) - ((s_band_skew * ElementProperty_MagpieData_mean_NfUnfilled) * 2.4271815)) * -4.7671453e-8) * YangSolidSolution_Yang_omega) - exp_d_upperband) * 0.02654003,0.0010396139409261302,((ElectronegativityDiff_minimum_EN_difference**3 - 2.4271815*ElementProperty_MagpieData_mean_NfUnfilled*s_band_skew - antibond_max_times_p_center_sq - (-GaussianSymmFunc_mean_G4_0_005_4_0__1_0 + 1/p_band_center)**4 - (rangeEN_div_minEN*(-0.1620085) - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth))**2)*(-4.7671453e-8)*YangSolidSolution_Yang_omega - exp_d_upperband)*0.02654003,PySRFunction(X=>((ElectronegativityDiff_minimum_EN_difference**3 - 2.4271815*ElementProperty_MagpieData_mean_NfUnfilled*s_band_skew - antibond_max_times_p_center_sq - (-GaussianSymmFunc_mean_G4_0_005_4_0__1_0 + 1/p_band_center)**4 - (rangeEN_div_minEN*(-0.1620085) - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth))**2)*(-4.7671453e-8)*YangSolidSolution_Yang_omega - exp_d_upperband)*0.02654003)
35,0.0043539465,((((exp(ElectronegativityDiff_range_EN_difference) * (s_band_skew * ElementProperty_MagpieData_mean_NfUnfilled)) - (((cube(ElectronegativityDiff_minimum_EN_difference) - square(ICOHP_min_times_log_swidth + (ICOHP_antibndg_div_minNumber - (rangeEN_div_minEN * -0.16321945)))) - square(square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - inv(p_band_center)))) - antibond_max_times_p_center_sq)) * (YangSolidSolution_Yang_omega * 4.5635446e-8)) - exp_d_upperband) * 0.027727785,0.006870662747979723,((ElementProperty_MagpieData_mean_NfUnfilled*s_band_skew*exp(ElectronegativityDiff_range_EN_difference) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth - (-0.16321945)*rangeEN_div_minEN)**2))*YangSolidSolution_Yang_omega*4.5635446e-8 - exp_d_upperband)*0.027727785,PySRFunction(X=>((ElementProperty_MagpieData_mean_NfUnfilled*s_band_skew*exp(ElectronegativityDiff_range_EN_difference) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - 1/p_band_center)**4 - (ICOHP_antibndg_div_minNumber + ICOHP_min_times_log_swidth - (-0.16321945)*rangeEN_div_minEN)**2))*YangSolidSolution_Yang_omega*4.5635446e-8 - exp_d_upperband)*0.027727785)
37,0.0043333704,((((exp(ElementProperty_MagpieData_mean_NfUnfilled) * s_band_skew) - (((cube(ElectronegativityDiff_minimum_EN_difference) - square(ICOHP_min_times_log_swidth + ((ICOHP_antibndg_div_minNumber - -0.17056401) * rangeEN_div_minEN))) - square(square(inv(p_band_center / (p_band_width - exp_d_upperband)) - GaussianSymmFunc_mean_G4_0_005_4_0__1_0))) - antibond_max_times_p_center_sq)) * (YangSolidSolution_Yang_omega * 4.9907698e-8)) - exp_d_upperband) * 0.024145503,0.0023685262910947964,((s_band_skew*exp(ElementProperty_MagpieData_mean_NfUnfilled) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (-GaussianSymmFunc_mean_G4_0_005_4_0__1_0 + (-exp_d_upperband + p_band_width)/p_band_center)**4 - (ICOHP_min_times_log_swidth + rangeEN_div_minEN*(ICOHP_antibndg_div_minNumber - 1*(-0.17056401)))**2))*YangSolidSolution_Yang_omega*4.9907698e-8 - exp_d_upperband)*0.024145503,PySRFunction(X=>((s_band_skew*exp(ElementProperty_MagpieData_mean_NfUnfilled) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (-GaussianSymmFunc_mean_G4_0_005_4_0__1_0 + (-exp_d_upperband + p_band_width)/p_band_center)**4 - (ICOHP_min_times_log_swidth + rangeEN_div_minEN*(ICOHP_antibndg_div_minNumber - 1*(-0.17056401)))**2))*YangSolidSolution_Yang_omega*4.9907698e-8 - exp_d_upperband)*0.024145503)
39,0.004295724,(((((exp(ElementProperty_MagpieData_mean_NfUnfilled * ElectronegativityDiff_range_EN_difference) * s_band_skew) - (((cube(ElectronegativityDiff_minimum_EN_difference) - square((rangeEN_div_minEN * (ICOHP_antibndg_div_minNumber - -0.17019017)) + ICOHP_min_times_log_swidth)) - square(square(GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - inv(p_band_center / (s_band_width - ICOHP_mean_std))))) - antibond_max_times_p_center_sq)) * 4.163328e-8) * YangSolidSolution_Yang_omega) - exp_d_upperband) * 0.029372329,0.00436275663516982,((s_band_skew*exp(ElectronegativityDiff_range_EN_difference*ElementProperty_MagpieData_mean_NfUnfilled) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - (-ICOHP_mean_std + s_band_width)/p_band_center)**4 - (ICOHP_min_times_log_swidth + rangeEN_div_minEN*(ICOHP_antibndg_div_minNumber - 1*(-0.17019017)))**2))*4.163328e-8*YangSolidSolution_Yang_omega - exp_d_upperband)*0.029372329,PySRFunction(X=>((s_band_skew*exp(ElectronegativityDiff_range_EN_difference*ElementProperty_MagpieData_mean_NfUnfilled) - (ElectronegativityDiff_minimum_EN_difference**3 - antibond_max_times_p_center_sq - (GaussianSymmFunc_mean_G4_0_005_4_0__1_0 - (-ICOHP_mean_std + s_band_width)/p_band_center)**4 - (ICOHP_min_times_log_swidth + rangeEN_div_minEN*(ICOHP_antibndg_div_minNumber - 1*(-0.17019017)))**2))*4.163328e-8*YangSolidSolution_Yang_omega - exp_d_upperband)*0.029372329)
