complexity,loss,equation,score,sympy_format,lambda_format
15,0.026147436,(ElementProperty_MagpieData_avg_dev_Electronegativity * ((45.780422 - (ElementProperty_MagpieData_mean_NsUnfilled / (AtomicOrbitals_gap_AO - (ElementProperty_MagpieData_maximum_NfUnfilled + -0.056962088)))) * -0.060251538)) + 0.78334266,0.00868547456264842,ElementProperty_MagpieData_avg_dev_Electronegativity*(45.780422 - ElementProperty_MagpieData_mean_NsUnfilled/(AtomicOrbitals_gap_AO - (ElementProperty_MagpieData_maximum_NfUnfilled - 0.056962088)))*(-0.060251538) + 0.78334266,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(45.780422 - ElementProperty_MagpieData_mean_NsUnfilled/(AtomicOrbitals_gap_AO - (ElementProperty_MagpieData_maximum_NfUnfilled - 0.056962088)))*(-0.060251538) + 0.78334266)
16,0.023929382,(ElementProperty_MagpieData_avg_dev_Electronegativity * ((ElementProperty_MagpieData_mean_NsUnfilled / exp(ElementProperty_MagpieData_maximum_NfUnfilled)) + (((CrystalNNFingerprint_mean_octahedral_CN_6 * antibonding_orb_perc_min) - 2.9519966) - AtomicOrbitals_gap_AO))) + 0.79152477,0.08864405972761023,ElementProperty_MagpieData_avg_dev_Electronegativity*(-AtomicOrbitals_gap_AO + CrystalNNFingerprint_mean_octahedral_CN_6*antibonding_orb_perc_min + ElementProperty_MagpieData_mean_NsUnfilled/exp(ElementProperty_MagpieData_maximum_NfUnfilled) - 1*2.9519966) + 0.79152477,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(-AtomicOrbitals_gap_AO + CrystalNNFingerprint_mean_octahedral_CN_6*antibonding_orb_perc_min + ElementProperty_MagpieData_mean_NsUnfilled/exp(ElementProperty_MagpieData_maximum_NfUnfilled) - 1*2.9519966) + 0.79152477)
17,0.023376705,((((antibonding_orb_perc_min * CrystalNNFingerprint_mean_octahedral_CN_6) - AtomicOrbitals_gap_AO) + ((ElementProperty_MagpieData_mean_NsUnfilled / cube(exp(ElementProperty_MagpieData_maximum_NfUnfilled))) - 2.9472482)) * ElementProperty_MagpieData_avg_dev_Electronegativity) + 0.79017967,0.023367062571798162,ElementProperty_MagpieData_avg_dev_Electronegativity*(-AtomicOrbitals_gap_AO + CrystalNNFingerprint_mean_octahedral_CN_6*antibonding_orb_perc_min + ElementProperty_MagpieData_mean_NsUnfilled/exp(3*ElementProperty_MagpieData_maximum_NfUnfilled) - 1*2.9472482) + 0.79017967,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*(-AtomicOrbitals_gap_AO + CrystalNNFingerprint_mean_octahedral_CN_6*antibonding_orb_perc_min + ElementProperty_MagpieData_mean_NsUnfilled/exp(3*ElementProperty_MagpieData_maximum_NfUnfilled) - 1*2.9472482) + 0.79017967)
18,0.022187676,(((((ElementProperty_MagpieData_mean_NsUnfilled + ((CrystalNNFingerprint_mean_octahedral_CN_6 * antibonding_orb_perc_min) - VoronoiFingerprint_std_dev_Voro_dist_std_dev)) - AtomicOrbitals_gap_AO) / exp(ElementProperty_MagpieData_maximum_NfUnfilled)) + -2.8191261) * ElementProperty_MagpieData_avg_dev_Electronegativity) + 0.85230696,0.052203014092603604,ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + CrystalNNFingerprint_mean_octahedral_CN_6*antibonding_orb_perc_min + ElementProperty_MagpieData_mean_NsUnfilled - VoronoiFingerprint_std_dev_Voro_dist_std_dev)/exp(ElementProperty_MagpieData_maximum_NfUnfilled) - 2.8191261) + 0.85230696,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + CrystalNNFingerprint_mean_octahedral_CN_6*antibonding_orb_perc_min + ElementProperty_MagpieData_mean_NsUnfilled - VoronoiFingerprint_std_dev_Voro_dist_std_dev)/exp(ElementProperty_MagpieData_maximum_NfUnfilled) - 2.8191261) + 0.85230696)
20,0.021626014,(ElementProperty_MagpieData_avg_dev_Electronegativity * ((((((antibonding_orb_perc_min * CrystalNNFingerprint_mean_octahedral_CN_6) + ElementProperty_MagpieData_mean_NsUnfilled) - VoronoiFingerprint_std_dev_Voro_dist_std_dev) - AtomicOrbitals_gap_AO) / exp(ElementProperty_MagpieData_maximum_NfUnfilled / 0.15318854)) + -2.8121748)) + 0.84846413,0.012820028853247933,ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + CrystalNNFingerprint_mean_octahedral_CN_6*antibonding_orb_perc_min + ElementProperty_MagpieData_mean_NsUnfilled - VoronoiFingerprint_std_dev_Voro_dist_std_dev)/exp(ElementProperty_MagpieData_maximum_NfUnfilled/0.15318854) - 2.8121748) + 0.84846413,PySRFunction(X=>ElementProperty_MagpieData_avg_dev_Electronegativity*((-AtomicOrbitals_gap_AO + CrystalNNFingerprint_mean_octahedral_CN_6*antibonding_orb_perc_min + ElementProperty_MagpieData_mean_NsUnfilled - VoronoiFingerprint_std_dev_Voro_dist_std_dev)/exp(ElementProperty_MagpieData_maximum_NfUnfilled/0.15318854) - 2.8121748) + 0.84846413)
21,0.020875663,(((ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev) * (CrystalNNFingerprint_mean_octahedral_CN_6 - (((AtomicOrbitals_gap_AO - ElementProperty_MagpieData_mean_NsUnfilled) * (antibonding_orb_perc_min / (0.26922074 - ElementProperty_MagpieData_maximum_NfUnfilled))) + 8.020849))) * 0.3897329) + 1.667763,0.0353129111804358,(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(CrystalNNFingerprint_mean_octahedral_CN_6 - (antibonding_orb_perc_min*(AtomicOrbitals_gap_AO - ElementProperty_MagpieData_mean_NsUnfilled)/(0.26922074 - ElementProperty_MagpieData_maximum_NfUnfilled) + 8.020849))*0.3897329 + 1.667763,PySRFunction(X=>(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(CrystalNNFingerprint_mean_octahedral_CN_6 - (antibonding_orb_perc_min*(AtomicOrbitals_gap_AO - ElementProperty_MagpieData_mean_NsUnfilled)/(0.26922074 - ElementProperty_MagpieData_maximum_NfUnfilled) + 8.020849))*0.3897329 + 1.667763)
22,0.020660236,((ElementProperty_MagpieData_avg_dev_Electronegativity + -0.5741738) + VoronoiFingerprint_std_dev_Voro_dist_std_dev) * (CrystalNNFingerprint_mean_octahedral_CN_6 - (((AtomicOrbitals_gap_AO - square(AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)) * (0.34218353 / (0.27803138 - ElementProperty_MagpieData_maximum_NfUnfilled))) + 3.414659)),0.010373144045667495,(CrystalNNFingerprint_mean_octahedral_CN_6 - (3.414659 + (AtomicOrbitals_gap_AO - (AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)*0.34218353/(0.27803138 - ElementProperty_MagpieData_maximum_NfUnfilled)))*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev - 0.5741738),PySRFunction(X=>(CrystalNNFingerprint_mean_octahedral_CN_6 - (3.414659 + (AtomicOrbitals_gap_AO - (AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)*0.34218353/(0.27803138 - ElementProperty_MagpieData_maximum_NfUnfilled)))*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev - 0.5741738))
24,0.019686159,(CrystalNNFingerprint_mean_octahedral_CN_6 - ((((AtomicOrbitals_gap_AO - square(AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)) * 0.36750033) / (antibonding_orb_perc_std + (0.24435686 - ElementProperty_MagpieData_maximum_NfUnfilled))) + 3.4131405)) * (ElementProperty_MagpieData_avg_dev_Electronegativity + (VoronoiFingerprint_std_dev_Voro_dist_std_dev + -0.5752809)),0.02414754334284294,(CrystalNNFingerprint_mean_octahedral_CN_6 - ((AtomicOrbitals_gap_AO - (AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)*0.36750033/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.24435686) + 3.4131405))*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev - 0.5752809),PySRFunction(X=>(CrystalNNFingerprint_mean_octahedral_CN_6 - ((AtomicOrbitals_gap_AO - (AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)*0.36750033/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.24435686) + 3.4131405))*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev - 0.5752809))
26,0.019004863,(ElementProperty_MagpieData_avg_dev_Electronegativity + (VoronoiFingerprint_std_dev_Voro_dist_std_dev + -0.57651126)) * (CrystalNNFingerprint_mean_octahedral_CN_6 - ((((AtomicOrbitals_gap_AO - square(ElementProperty_MagpieData_mean_NsUnfilled - AtomicOrbitals_LUMO_energy)) * (TMetalFraction_transition_metal_fraction + 0.2804151)) / ((antibonding_orb_perc_std + 0.23717521) - ElementProperty_MagpieData_maximum_NfUnfilled)) + 3.4237738)),0.01761045309716631,(CrystalNNFingerprint_mean_octahedral_CN_6 - ((AtomicOrbitals_gap_AO - (-AtomicOrbitals_LUMO_energy + ElementProperty_MagpieData_mean_NsUnfilled)**2)*(TMetalFraction_transition_metal_fraction + 0.2804151)/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.23717521) + 3.4237738))*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev - 0.57651126),PySRFunction(X=>(CrystalNNFingerprint_mean_octahedral_CN_6 - ((AtomicOrbitals_gap_AO - (-AtomicOrbitals_LUMO_energy + ElementProperty_MagpieData_mean_NsUnfilled)**2)*(TMetalFraction_transition_metal_fraction + 0.2804151)/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.23717521) + 3.4237738))*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev - 0.57651126))
28,0.018756563,(CrystalNNFingerprint_mean_octahedral_CN_6 - (((AtomicOrbitals_gap_AO - square(ElementProperty_MagpieData_mean_NsUnfilled - AtomicOrbitals_LUMO_energy)) * ((TMetalFraction_transition_metal_fraction + 0.2802356) / ((antibonding_orb_perc_std + 0.23647885) - ElementProperty_MagpieData_maximum_NfUnfilled))) + 3.401664)) * (((VoronoiFingerprint_std_dev_Voro_dist_std_dev + ElementProperty_MagpieData_avg_dev_Electronegativity) + -0.5680734) - XRDPowderPattern_xrd_13),0.006575587973938866,(CrystalNNFingerprint_mean_octahedral_CN_6 - ((AtomicOrbitals_gap_AO - (-AtomicOrbitals_LUMO_energy + ElementProperty_MagpieData_mean_NsUnfilled)**2)*(TMetalFraction_transition_metal_fraction + 0.2802356)/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.23647885) + 3.401664))*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev - XRDPowderPattern_xrd_13 - 0.5680734),PySRFunction(X=>(CrystalNNFingerprint_mean_octahedral_CN_6 - ((AtomicOrbitals_gap_AO - (-AtomicOrbitals_LUMO_energy + ElementProperty_MagpieData_mean_NsUnfilled)**2)*(TMetalFraction_transition_metal_fraction + 0.2802356)/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.23647885) + 3.401664))*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev - XRDPowderPattern_xrd_13 - 0.5680734))
35,0.018642271,(1.55459 - (Icobi_B2_directional_asym_index * -0.18996516)) + ((((CrystalNNFingerprint_mean_octahedral_CN_6 - ((((AtomicOrbitals_gap_AO - square(AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)) * 0.36353788) / (antibonding_orb_perc_std + (0.23476551 - ElementProperty_MagpieData_maximum_NfUnfilled))) + 5.842209)) * (0.53311366 - XRDPowderPattern_xrd_13)) + square(TMetalFraction_transition_metal_fraction)) * (VoronoiFingerprint_std_dev_Voro_dist_std_dev + ElementProperty_MagpieData_avg_dev_Electronegativity)),0.0008731544625575083,-(-0.18996516)*Icobi_B2_directional_asym_index + (ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(TMetalFraction_transition_metal_fraction**2 + (0.53311366 - XRDPowderPattern_xrd_13)*(CrystalNNFingerprint_mean_octahedral_CN_6 - ((AtomicOrbitals_gap_AO - (AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)*0.36353788/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.23476551) + 5.842209))) + 1.55459,PySRFunction(X=>-(-0.18996516)*Icobi_B2_directional_asym_index + (ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(TMetalFraction_transition_metal_fraction**2 + (0.53311366 - XRDPowderPattern_xrd_13)*(CrystalNNFingerprint_mean_octahedral_CN_6 - ((AtomicOrbitals_gap_AO - (AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)*0.36353788/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.23476551) + 5.842209))) + 1.55459)
36,0.01856901,(((((CrystalNNFingerprint_mean_octahedral_CN_6 - (((AtomicOrbitals_gap_AO - square(ElementProperty_MagpieData_mean_NsUnfilled - AtomicOrbitals_LUMO_energy)) * (0.35519114 / ((antibonding_orb_perc_std + 0.2346696) - sqrt(ElementProperty_MagpieData_maximum_NfUnfilled)))) + 5.883632)) * (0.527786 - XRDPowderPattern_xrd_13)) + square(TMetalFraction_transition_metal_fraction)) * (ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)) + 1.554048) - (Icobi_B2_directional_asym_index * -0.19037795),0.003937574449866066,0.19037795*Icobi_B2_directional_asym_index + (ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(TMetalFraction_transition_metal_fraction**2 + (0.527786 - XRDPowderPattern_xrd_13)*(CrystalNNFingerprint_mean_octahedral_CN_6 - 0.35519114*(AtomicOrbitals_gap_AO - (-AtomicOrbitals_LUMO_energy + ElementProperty_MagpieData_mean_NsUnfilled)**2)/(-sqrt(ElementProperty_MagpieData_maximum_NfUnfilled) + antibonding_orb_perc_std + 0.2346696) - 5.883632)) + 1.554048,PySRFunction(X=>0.19037795*Icobi_B2_directional_asym_index + (ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(TMetalFraction_transition_metal_fraction**2 + (0.527786 - XRDPowderPattern_xrd_13)*(CrystalNNFingerprint_mean_octahedral_CN_6 - 0.35519114*(AtomicOrbitals_gap_AO - (-AtomicOrbitals_LUMO_energy + ElementProperty_MagpieData_mean_NsUnfilled)**2)/(-sqrt(ElementProperty_MagpieData_maximum_NfUnfilled) + antibonding_orb_perc_std + 0.2346696) - 5.883632)) + 1.554048)
37,0.01842091,(1.5517876 - (Icobi_B2_directional_asym_index * -0.18203951)) + ((0.528992 - XRDPowderPattern_xrd_13) * (((CrystalNNFingerprint_mean_octahedral_CN_6 - ((((AtomicOrbitals_gap_AO - square(AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)) * 0.33592793) / ((antibonding_orb_perc_std - ElementProperty_MagpieData_maximum_NfUnfilled) + 0.22077167)) + 5.8891354)) + square(TMetalFraction_transition_metal_fraction + TMetalFraction_transition_metal_fraction)) * (VoronoiFingerprint_std_dev_Voro_dist_std_dev + ElementProperty_MagpieData_avg_dev_Electronegativity))),0.008007629720375534,-(-0.18203951)*Icobi_B2_directional_asym_index + (0.528992 - XRDPowderPattern_xrd_13)*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(CrystalNNFingerprint_mean_octahedral_CN_6 + (TMetalFraction_transition_metal_fraction + TMetalFraction_transition_metal_fraction)**2 - ((AtomicOrbitals_gap_AO - (AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)*0.33592793/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.22077167) + 5.8891354)) + 1.5517876,PySRFunction(X=>-(-0.18203951)*Icobi_B2_directional_asym_index + (0.528992 - XRDPowderPattern_xrd_13)*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(CrystalNNFingerprint_mean_octahedral_CN_6 + (TMetalFraction_transition_metal_fraction + TMetalFraction_transition_metal_fraction)**2 - ((AtomicOrbitals_gap_AO - (AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)*0.33592793/(-ElementProperty_MagpieData_maximum_NfUnfilled + antibonding_orb_perc_std + 0.22077167) + 5.8891354)) + 1.5517876)
38,0.018359171,((ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev) * ((0.5274011 - XRDPowderPattern_xrd_13) * ((square(TMetalFraction_transition_metal_fraction + TMetalFraction_transition_metal_fraction) + CrystalNNFingerprint_mean_octahedral_CN_6) - ((((AtomicOrbitals_gap_AO - square(AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)) * 0.3291641) / ((antibonding_orb_perc_std + 0.22243555) - sqrt(ElementProperty_MagpieData_maximum_NfUnfilled))) + 5.890254)))) + (1.549234 - (Icobi_B2_directional_asym_index * -0.1822285)),0.0033572007624071286,0.1822285*Icobi_B2_directional_asym_index + (0.5274011 - XRDPowderPattern_xrd_13)*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(CrystalNNFingerprint_mean_octahedral_CN_6 + 4*TMetalFraction_transition_metal_fraction**2 - (0.3291641*AtomicOrbitals_gap_AO - 0.3291641*(AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)/(-sqrt(ElementProperty_MagpieData_maximum_NfUnfilled) + antibonding_orb_perc_std + 0.22243555) - 5.890254) + 1.549234,PySRFunction(X=>0.1822285*Icobi_B2_directional_asym_index + (0.5274011 - XRDPowderPattern_xrd_13)*(ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(CrystalNNFingerprint_mean_octahedral_CN_6 + 4*TMetalFraction_transition_metal_fraction**2 - (0.3291641*AtomicOrbitals_gap_AO - 0.3291641*(AtomicOrbitals_LUMO_energy - ElementProperty_MagpieData_mean_NsUnfilled)**2)/(-sqrt(ElementProperty_MagpieData_maximum_NfUnfilled) + antibonding_orb_perc_std + 0.22243555) - 5.890254) + 1.549234)
40,0.018334093,(1.5383121 - (Icobi_B2_directional_asym_index * -0.18324058)) + ((((square(TMetalFraction_transition_metal_fraction + TMetalFraction_transition_metal_fraction) + (CrystalNNFingerprint_mean_octahedral_CN_6 - (((AtomicOrbitals_gap_AO - square(ElementProperty_MagpieData_mean_NsUnfilled - AtomicOrbitals_LUMO_energy)) * (0.33388767 / ((antibonding_orb_perc_std + 0.22516604) - sqrt(ElementProperty_MagpieData_maximum_NfUnfilled)))) + 5.8711867))) * (0.5281934 - XRDPowderPattern_xrd_13)) + XRDPowderPattern_xrd_13) * (ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)),0.0006834497989788236,0.18324058*Icobi_B2_directional_asym_index + (ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(XRDPowderPattern_xrd_13 + (0.5281934 - XRDPowderPattern_xrd_13)*(CrystalNNFingerprint_mean_octahedral_CN_6 + 4*TMetalFraction_transition_metal_fraction**2 - 0.33388767*(AtomicOrbitals_gap_AO - (-AtomicOrbitals_LUMO_energy + ElementProperty_MagpieData_mean_NsUnfilled)**2)/(-sqrt(ElementProperty_MagpieData_maximum_NfUnfilled) + antibonding_orb_perc_std + 0.22516604) - 5.8711867)) + 1.5383121,PySRFunction(X=>0.18324058*Icobi_B2_directional_asym_index + (ElementProperty_MagpieData_avg_dev_Electronegativity + VoronoiFingerprint_std_dev_Voro_dist_std_dev)*(XRDPowderPattern_xrd_13 + (0.5281934 - XRDPowderPattern_xrd_13)*(CrystalNNFingerprint_mean_octahedral_CN_6 + 4*TMetalFraction_transition_metal_fraction**2 - 0.33388767*(AtomicOrbitals_gap_AO - (-AtomicOrbitals_LUMO_energy + ElementProperty_MagpieData_mean_NsUnfilled)**2)/(-sqrt(ElementProperty_MagpieData_maximum_NfUnfilled) + antibonding_orb_perc_std + 0.22516604) - 5.8711867)) + 1.5383121)
