complexity,loss,equation,score,sympy_format,lambda_format
19,0.025548141,0.7113654 - ((2.878804 - (5.0124106 / (square(log(0.015175452 - (ElementProperty_MagpieData_maximum_NdValence * ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg))) + (ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled)))) * ElementProperty_MagpieData_avg_dev_Electronegativity),0.023702789283232075,-ElementProperty_MagpieData_avg_dev_Electronegativity*(2.878804 - 5.0124106/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.015175452)**2)) + 0.7113654,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(2.878804 - 5.0124106/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.015175452)**2)) + 0.7113654)
20,0.025216458,0.7028884 - ((2.8529937 - (4.915579 / ((ElementProperty_MagpieData_range_NUnfilled + ElementProperty_MagpieData_avg_dev_Column) + square(log(square(0.12077831) - (ElementProperty_MagpieData_maximum_NdValence * ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg)))))) * ElementProperty_MagpieData_avg_dev_Electronegativity),0.013067678125540407,-ElementProperty_MagpieData_avg_dev_Electronegativity*(2.8529937 - 4.915579/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.0145874001664561)**2)) + 0.7028884,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(2.8529937 - 4.915579/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.0145874001664561)**2)) + 0.7028884)
21,0.024205044,0.7184202 - (ElementProperty_MagpieData_avg_dev_Electronegativity * (2.8764472 - (5.05757 / (ElementProperty_MagpieData_avg_dev_Column + (ElementProperty_MagpieData_range_NUnfilled + square(log((ElectronegativityDiff_std_dev_EN_difference / 22.398071) - (ElementProperty_MagpieData_maximum_NdValence * ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg)))))))),0.04093583538534426,-ElementProperty_MagpieData_avg_dev_Electronegativity*(2.8764472 - 5.05757/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.0446467019414306*ElectronegativityDiff_std_dev_EN_difference)**2)) + 0.7184202,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(2.8764472 - 5.05757/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.0446467019414306*ElectronegativityDiff_std_dev_EN_difference)**2)) + 0.7184202)
22,0.0238772,0.7028884 - ((2.8529937 - (4.915579 / ((ElementProperty_MagpieData_range_NUnfilled + ElementProperty_MagpieData_avg_dev_Column) + square(log(square(ElectronegativityDiff_std_dev_EN_difference / 3.4756439) - (ElementProperty_MagpieData_maximum_NdValence * ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg)))))) * ElementProperty_MagpieData_avg_dev_Electronegativity),0.01363701247782801,-ElementProperty_MagpieData_avg_dev_Electronegativity*(2.8529937 - 4.915579/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.0827807681216642*ElectronegativityDiff_std_dev_EN_difference**2)**2)) + 0.7028884,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(2.8529937 - 4.915579/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.0827807681216642*ElectronegativityDiff_std_dev_EN_difference**2)**2)) + 0.7028884)
23,0.02220287,0.4559967 - (ElementProperty_MagpieData_avg_dev_Electronegativity * ((Madelung_Mull / -201.26176) - ((4.9470916 / ((square(log(0.041544747 - (ElementProperty_MagpieData_maximum_NdValence * ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg))) + ElementProperty_MagpieData_avg_dev_Column) + ElementProperty_MagpieData_range_NUnfilled)) - 2.4203231))),0.0727024689167486,-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496865375717672*Madelung_Mull + 2.4203231 - 4.9470916/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.041544747)**2)) + 0.4559967,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496865375717672*Madelung_Mull + 2.4203231 - 4.9470916/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.041544747)**2)) + 0.4559967)
25,0.021394253,0.47752178 - (((Madelung_Mull / -232.34483) - ((4.852672 / ((square(log((ElectronegativityDiff_std_dev_EN_difference / 15.027579) - (ElementProperty_MagpieData_maximum_NdValence * ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg))) + ElementProperty_MagpieData_range_NUnfilled) + ElementProperty_MagpieData_avg_dev_Column)) - 2.455802)) * ElementProperty_MagpieData_avg_dev_Electronegativity),0.018549612621057754,-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.0043039477142659*Madelung_Mull + 2.455802 - 4.852672/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.0665443182830714*ElectronegativityDiff_std_dev_EN_difference)**2)) + 0.47752178,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.0043039477142659*Madelung_Mull + 2.455802 - 4.852672/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.0665443182830714*ElectronegativityDiff_std_dev_EN_difference)**2)) + 0.47752178)
26,0.021265192,0.42764866 - (((Madelung_Mull / -205.15881) - ((4.589912 / (square(log(square(ElectronegativityDiff_std_dev_EN_difference / 2.7281525) - (ElementProperty_MagpieData_maximum_NdValence * ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg))) + (ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled))) - 2.3690372)) * ElementProperty_MagpieData_avg_dev_Electronegativity),0.006050776973953421,-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00487427276459636*Madelung_Mull + 2.3690372 - 4.589912/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.134357747323195*ElectronegativityDiff_std_dev_EN_difference**2)**2)) + 0.42764866,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00487427276459636*Madelung_Mull + 2.3690372 - 4.589912/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.134357747323195*ElectronegativityDiff_std_dev_EN_difference**2)**2)) + 0.42764866)
27,0.021221561,0.43570274 - (ElementProperty_MagpieData_avg_dev_Electronegativity * ((Madelung_Mull / -201.26376) - ((4.83072 / ((square(log((ElectronegativityDiff_std_dev_EN_difference * (0.57906204 / ElementProperty_MagpieData_avg_dev_Column)) - (ElementProperty_MagpieData_maximum_NdValence * ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg))) + ElementProperty_MagpieData_range_NUnfilled) + ElementProperty_MagpieData_avg_dev_Column)) - 2.3951921))),0.002053864428642061,-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496860438262706*Madelung_Mull + 2.3951921 - 4.83072/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.57906204*ElectronegativityDiff_std_dev_EN_difference/ElementProperty_MagpieData_avg_dev_Column)**2)) + 0.43570274,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496860438262706*Madelung_Mull + 2.3951921 - 4.83072/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.57906204*ElectronegativityDiff_std_dev_EN_difference/ElementProperty_MagpieData_avg_dev_Column)**2)) + 0.43570274)
31,0.020997493,0.44812018 - (ElementProperty_MagpieData_avg_dev_Electronegativity * ((Madelung_Mull / -201.26042) - ((5.148326 / (ElementProperty_MagpieData_avg_dev_Column + (log(cube(square(log(0.017383669 - (ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg * ElementProperty_MagpieData_maximum_NdValence)) / (ElectronegativityDiff_std_dev_EN_difference * 1.750093))) + 2.418877) + ElementProperty_MagpieData_range_NUnfilled))) - 2.418877))),0.0026536608780968105,-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496868683867399*Madelung_Mull + 2.418877 - 5.148326/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(2.418877 + 0.0348043264628825*log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.017383669)**6/ElectronegativityDiff_std_dev_EN_difference**6))) + 0.44812018,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496868683867399*Madelung_Mull + 2.418877 - 5.148326/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(2.418877 + 0.0348043264628825*log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.017383669)**6/ElectronegativityDiff_std_dev_EN_difference**6))) + 0.44812018)
32,0.02070499,(0.20510162 - ElementProperty_MagpieData_avg_dev_Electronegativity) * ((Madelung_Mull / -188.74686) - ((5.783334 / ((ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled) + square(log(ElectronegativityDiff_std_dev_EN_difference / (exp(ICOHP_antibndg_orb_sum_max) + square(log((0.16261555 / ElementProperty_MagpieData_avg_dev_Column) - (ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg * ElementProperty_MagpieData_maximum_NdValence)))))))) - 2.4577398)),0.014028315622281833,(0.20510162 - ElementProperty_MagpieData_avg_dev_Electronegativity)*(-0.0052981013829846*Madelung_Mull + 2.4577398 - 5.783334/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(ElectronegativityDiff_std_dev_EN_difference/(exp(ICOHP_antibndg_orb_sum_max) + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.16261555/ElementProperty_MagpieData_avg_dev_Column)**2))**2)),PySRFunction(X=>(0.20510162 - ElementProperty_MagpieData_avg_dev_Electronegativity)*(-0.0052981013829846*Madelung_Mull + 2.4577398 - 5.783334/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(ElectronegativityDiff_std_dev_EN_difference/(exp(ICOHP_antibndg_orb_sum_max) + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.16261555/ElementProperty_MagpieData_avg_dev_Column)**2))**2)))
34,0.020468803,((Madelung_Mull / -188.74637) - ((5.7741737 / ((square(log(ElectronegativityDiff_std_dev_EN_difference * (1.4323636 / (square(log((0.115347825 / ElementProperty_MagpieData_avg_dev_Column) - (ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg * ElementProperty_MagpieData_maximum_NdValence))) + exp(ICOHP_antibndg_orb_sum_max))))) + ElementProperty_MagpieData_avg_dev_Column) + ElementProperty_MagpieData_range_NUnfilled)) - 2.4729922)) * (0.20237759 - ElementProperty_MagpieData_avg_dev_Electronegativity),0.005736405938568437,(0.20237759 - ElementProperty_MagpieData_avg_dev_Electronegativity)*(-0.00529811513726065*Madelung_Mull + 2.4729922 - 5.7741737/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(1.4323636*ElectronegativityDiff_std_dev_EN_difference/(exp(ICOHP_antibndg_orb_sum_max) + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.115347825/ElementProperty_MagpieData_avg_dev_Column)**2))**2)),PySRFunction(X=>(0.20237759 - ElementProperty_MagpieData_avg_dev_Electronegativity)*(-0.00529811513726065*Madelung_Mull + 2.4729922 - 5.7741737/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(1.4323636*ElectronegativityDiff_std_dev_EN_difference/(exp(ICOHP_antibndg_orb_sum_max) + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.115347825/ElementProperty_MagpieData_avg_dev_Column)**2))**2)))
36,0.020373302,0.42609608 - (ElementProperty_MagpieData_avg_dev_Electronegativity * ((Madelung_Mull / -201.26222) - ((4.7852535 / (square(log(ElectronegativityDiff_std_dev_EN_difference * (1.6174592 / (exp(ICOHP_antibndg_orb_sum_max + 0.553663) + square(log((0.10475444 / ElementProperty_MagpieData_avg_dev_Column) - (ElementProperty_MagpieData_maximum_NdValence * ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg))))))) + (ElementProperty_MagpieData_range_NUnfilled + ElementProperty_MagpieData_avg_dev_Column))) - 2.383516))),0.002338301957146375,-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496864240094341*Madelung_Mull + 2.383516 - 4.7852535/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(1.6174592*ElectronegativityDiff_std_dev_EN_difference/(1.73961356590365*exp(ICOHP_antibndg_orb_sum_max) + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.10475444/ElementProperty_MagpieData_avg_dev_Column)**2))**2)) + 0.42609608,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496864240094341*Madelung_Mull + 2.383516 - 4.7852535/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(1.6174592*ElectronegativityDiff_std_dev_EN_difference/(1.73961356590365*exp(ICOHP_antibndg_orb_sum_max) + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.10475444/ElementProperty_MagpieData_avg_dev_Column)**2))**2)) + 0.42609608)
37,0.02032082,0.42323372 - (ElementProperty_MagpieData_avg_dev_Electronegativity * ((Madelung_Mull / -201.26149) - ((4.7455344 / ((ElementProperty_MagpieData_range_NUnfilled + ElementProperty_MagpieData_avg_dev_Column) + square(log((ElectronegativityDiff_std_dev_EN_difference * 1.4829671) / (exp(ICOHP_antibndg_orb_sum_max - log(ElectronegativityDiff_std_dev_EN_difference)) + square(log((0.11448047 / ElementProperty_MagpieData_avg_dev_Column) - (ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg * ElementProperty_MagpieData_maximum_NdValence)))))))) - 2.3761816))),0.002579342004081818,-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496866042281611*Madelung_Mull + 2.3761816 - 4.7455344/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(1.4829671*ElectronegativityDiff_std_dev_EN_difference/(log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.11448047/ElementProperty_MagpieData_avg_dev_Column)**2 + exp(ICOHP_antibndg_orb_sum_max)/ElectronegativityDiff_std_dev_EN_difference))**2)) + 0.42323372,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496866042281611*Madelung_Mull + 2.3761816 - 4.7455344/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(1.4829671*ElectronegativityDiff_std_dev_EN_difference/(log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence + 0.11448047/ElementProperty_MagpieData_avg_dev_Column)**2 + exp(ICOHP_antibndg_orb_sum_max)/ElectronegativityDiff_std_dev_EN_difference))**2)) + 0.42323372)
38,0.02030031,0.43744355 - (ElementProperty_MagpieData_avg_dev_Electronegativity * ((Madelung_Mull / -201.2619) - ((4.7850394 / ((square(log((ElectronegativityDiff_std_dev_EN_difference * 1.5943873) / (square(log((0.1218648 / ElementProperty_MagpieData_avg_dev_Column) - ((ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg / ElementProperty_MagpieData_avg_dev_Electronegativity) * ElementProperty_MagpieData_maximum_NdValence))) + exp(ICOHP_antibndg_orb_sum_max + 0.5161464)))) + ElementProperty_MagpieData_range_NUnfilled) + ElementProperty_MagpieData_avg_dev_Column)) - 2.3961868))),0.0010098193596730328,-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496865030092631*Madelung_Mull + 2.3961868 - 4.7850394/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(1.5943873*ElectronegativityDiff_std_dev_EN_difference/(1.67555826117181*exp(ICOHP_antibndg_orb_sum_max) + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence/ElementProperty_MagpieData_avg_dev_Electronegativity + 0.1218648/ElementProperty_MagpieData_avg_dev_Column)**2))**2)) + 0.43744355,PySRFunction(X=>-ElementProperty_MagpieData_avg_dev_Electronegativity*(-0.00496865030092631*Madelung_Mull + 2.3961868 - 4.7850394/(ElementProperty_MagpieData_avg_dev_Column + ElementProperty_MagpieData_range_NUnfilled + log(1.5943873*ElectronegativityDiff_std_dev_EN_difference/(1.67555826117181*exp(ICOHP_antibndg_orb_sum_max) + log(-ElectronegativityDiff_minimum_EN_difference_times_ICOHP_antibndg_orb_mean_avg*ElementProperty_MagpieData_maximum_NdValence/ElementProperty_MagpieData_avg_dev_Electronegativity + 0.1218648/ElementProperty_MagpieData_avg_dev_Column)**2))**2)) + 0.43744355)
